가게명,판매업종,배달소요시간,평점,리뷰수,배달기준금액,배달비
굽네치킨&피자-방학1동점,5,50,4.9,1019,15000,3000
굽네치킨&피자-방학1동점,5,50,4.9,1019,15000,3000
파무쳐두마리파닭,5,61,4.4,781,15000,2000
동근이숯불두마리치킨-노원점,5,56,4.9,1043,15900,2500
불아더숯불바베큐-노원점,5,60,5.0,132,16000,4000
롯데리아-마들역점,5,49,4.8,3879,10000,3500
BBQ-도봉역점,5,50,5.0,426,17000,3000
썬더치킨-상계점,5,49,4.8,504,14900,3000
맛있는파닭-방학점,5,35,4.7,33,15000,4000
청춘불닭발-강북점,5,50,4.8,86,17000,5900
노랑통닭-중계점,5,50,4.7,2494,18000,3000
후라이드참잘하는집-상계점,5,52,4.9,5217,10000,2000
이끌리오-중계점,5,53,4.9,331,13000,1000
BHC-중계본점,5,51,4.9,7215,16000,3000
지코바-노원상계2호점,5,49,4.9,5200,12000,3000
맛닭꼬-상계로또점,5,53,4.9,367,10000,1000
꼬꼬스토리-상계보람점,5,17,4.9,266,8000,2900
BHC-상계대박점,5,52,4.9,631,16000,3000
지코바치킨-노원상계1호점,5,51,4.9,653,17000,3000
푸라닭-수락산역점,5,51,4.8,326,18900,2500
BBQ-마들점,5,50,4.7,2647,15000,3000
BHC-마들점,5,51,4.9,1453,16000,3000
처갓집양념치킨-노원역점,5,53,4.9,1328,17000,2000
처갓집양념치킨-상계점,5,52,4.9,3562,16000,2000
BBQ-방학점,5,51,4.9,1123,18000,3500
푸라닭-상계1호점,5,49,4.9,261,16900,3000
코리엔탈깻잎두마리치킨-상계1호점,5,51,4.8,1082,15000,2000
큰집닭강정-마들점,5,50,4.6,162,8000,3500
푸라닭-하계점,5,50,5.0,61,16900,4000
교촌치킨-도봉점,5,53,4.5,2072,16000,4000
꼬꼬스토리닭강정-수락산역점,5,19,4.8,744,8000,2900
60계-서울상계점,5,51,4.9,362,16500,2900
모모치킨-상계점,5,51,4.9,1516,14000,2000
처갓집양념치킨-수락산점,5,51,4.9,1800,17000,2000
호식이두마리치킨-중계행복점,5,50,4.8,2469,16000,2000
굽네치킨&피자-상계6.7동점,5,49,4.8,3914,15000,3000
BHC-도봉역점,5,51,4.8,9684,16000,3000
지코바치킨-방학1호점,5,51,4.9,704,17000,3000
명가옛날통닭-노원점,5,52,4.8,190,15000,2000
페리카나-상계역점,5,30,4.9,3251,17000,3000
크라칸치킨,5,50,4.9,205,14900,2000
푸라닭-쌍문점,5,49,4.9,1203,15900,4500
노랑통닭-방학점,5,51,4.9,614,18000,3500
앤덤두마리치킨,5,51,4.6,1472,16000,2000
가마로강정-방학역점,5,51,4.8,242,15000,3000
교촌치킨-수락산역점,5,51,4.6,1065,16000,4000
자담치킨-방학점,5,51,5.0,181,18000,3800
국제통닭-노원직영점,5,52,4.9,240,10000,2000
BHC-중계점,5,43,4.9,2454,16000,3000
롯데리아-노원역점,5,52,4.8,1970,10000,3500
피치떡&노원점,5,51,5.0,75,14900,1000
오븐화치킨-상계점,5,51,4.9,316,14000,2000
처갓집양념치킨-도봉점,5,53,4.9,984,17000,3000
푸라닭-중계점,5,53,4.9,84,16900,3500
알통떡강정-쌍문점,5,50,4.9,473,11000,4000
순삭닭강정-상계점,5,50,4.9,257,15000,2000
호식이두마리치킨-수락산점,5,40,4.8,855,14000,3000
순살만공격-상계점,5,52,4.9,88,14000,4000
미쳐버린파닭-상계중계점,5,51,4.8,213,15000,2000
꾸브라꼬숯불두마리치킨-상계점,5,52,4.9,324,16500,3000
굽네치킨&피자-수락점,5,52,4.7,2288,13500,4000
기영이숯불두마리치킨-노원상계점,5,51,4.9,45,15000,2500
노랑통닭-노원역점,5,50,4.6,1316,18000,3500
맛닭꼬-중계브라운스톤점,5,51,4.9,276,12000,3000
기영이숯불두마리치킨-도봉방학점,5,51,4.9,69,17000,4000
부어치킨-상계로또사거리점,5,51,4.7,1528,16000,3000
BHC-하계점,5,47,5.0,2232,16000,4500
치킨마루-보람한신점,5,52,4.8,600,14000,2000
썬더치킨-도봉구청점,5,18,4.9,109,13900,2900
도깨비시장옛날통닭,5,16,4.8,60,11000,3400
스마일닭강정,5,24,4.8,277,12000,4400
꼬꼬스토리-도봉한신점,5,20,4.8,69,8000,3000
교촌치킨-상계보람점,5,52,4.6,210,15000,4000
닭강정공방-노원중앙점,5,20,4.8,296,11000,3400
가마로강정-은행사거리점,5,25,4.9,1680,17000,4400
누룽통닭-방학점,5,16,5.0,9,15000,2900
전설의바베큐치킨,5,18,4.7,411,17000,3400
순살의민족-창동점,5,56,4.9,242,9900,3400
롯데리아-창동역점,5,53,4.7,2424,10000,3500
걸작떡볶이치킨-쌍문창동점,5,52,4.8,3925,18000,3000
오븐마루-중계점,5,52,4.9,1035,14000,3500
푸라닭-상계역점,5,52,4.9,675,16900,4500
네네치킨-방학1점,5,47,4.9,1811,16000,4000
BHC-상계행복점,5,49,4.9,909,16000,4000
푸라닭-창4동점,5,45,4.9,555,15900,3500
또래오래-도봉점,5,51,4.8,396,15000,3000
네네치킨-상계마들점,5,49,4.8,1731,15000,3000
서오릉피자-노원상계점,5,52,4.8,167,15000,1500
BBQ-상계수락점,5,52,4.7,142,18000,3000
강가옛날통닭,5,51,4.7,22,15000,2000
치킨마루-마들점,5,49,4.9,586,16000,2000
BBQ-노원스타점,5,51,4.8,32,15000,4000
88옛날통닭-창동점,5,20,4.9,16,15000,3900
참존숯불바베큐치킨-방학점,5,52,4.9,92,15000,3000
롯데리아-수락산역점,5,53,4.6,1165,10000,4000
맘스터치-노원로데오점,5,52,4.9,750,12000,3500
굽네치킨&피자-상계보람점,5,52,4.7,1265,15000,4000
요녀석파스타&필라프-도봉점,5,53,4.9,555,10000,2900
순수치킨-상계점,5,51,4.8,415,16000,2000
큰집닭강정-창동직영점,5,17,4.7,15,10000,3400
롯데리아-GS마트상계점,5,50,4.9,83,10000,3500
맥시칸치킨-상계점,5,52,4.5,470,17000,3000
큰집닭강정-쌍문역점,5,21,4.9,46,13000,4400
통닭마니아-수락산역점,5,19,5.0,6,15000,2900
호식이두마리치킨-창동점,5,52,4.7,754,15000,4000
테이크돈,5,15,5.0,3,14000,2900
가마꿉-도봉점,5,52,5.0,3,15000,2000
와구이닭,5,18,0.0,0,15000,3400
두레통닭-신도봉점,5,14,4.7,42,10000,2900
새우치킨덤-창동점,5,52,4.9,201,16900,4300
꼬꼬스토리-중계은사점,5,23,4.8,152,15000,4400
