년도,월,거리구간,빈도,배달의민족,배민1,요기요,요기요익스,쿠팡이츠
2022,5월,2km,최빈,2500,3000,1000,2900,3000
2022,5월,2km,최고,6000,6000,5500,3900,4000
2022,5월,2k~3km미만,최빈,3000,3000,2000,3900,3000
2022,5월,2k~3km미만,최고,7000,7970,3900,4400,6000
2022,5월,3km~4km미만,최빈,4000,4980,4000,5400,7000
2022,5월,3km~4km미만,최고,6500,7980,6500,6400,7000
2022,6월,2km,최빈,3000,4550,3000,2400,3000
2022,6월,2km,최고,5300,6000,5000,3500,4000
2022,6월,2k~3km미만,최빈,3000,4550,3000,0,3000
2022,6월,2k~3km미만,최고,7000,6200,5500,4400,5000
2022,6월,3km~4km미만,최빈,3000,4650,3000,0,6000
2022,6월,3km~4km미만,최고,8000,6200,6000,6400,7000
2022,7월,2km,최빈,2500,3000,2000,2900,3000
2022,7월,2km,최고,5500,6600,5000,3400,4000
2022,7월,2k~3km미만,최빈,3000,3770,2000,3900,3000
2022,7월,2k~3km미만,최고,6500,7540,7500,4400,4000
2022,7월,3km~4km미만,최빈,3500,5310,4500,5400,5000
2022,7월,3km~4km미만,최고,6500,8300,7000,6400,7000
2022,8월,2km,최빈,3000,3000,3000,2900,3000
2022,8월,2km,최고,5800,6000,6000,4000,4000
2022,8월,2k~3km미만,최빈,3000,4770,3000,3900,3000
2022,8월,2k~3km미만,최고,7000,6540,5500,4400,4000
2022,8월,3km~4km미만,최빈,3000,5310,3000,0,6000
2022,8월,3km~4km미만,최고,8000,7080,6000,0,7000
2022,9월,2km,최빈,2000,3000,2000,2600,3000
2022,9월,2km,최고,5500,6600,5500,3100,4000
2022,9월,2k~3km미만,최빈,3000,3770,2000,3600,3000
2022,9월,2k~3km미만,최고,6500,6540,7000,4100,4000
2022,9월,3km~4km미만,최빈,4500,5310,4000,5100,6000
2022,9월,3km~4km미만,최고,6500,8300,7000,6100,7000
2022,10월,2km,최빈,3000,4000,3000,2600,3000
2022,10월,2km,최고,5300,6000,5500,3100,4000
2022,10월,2k~3km미만,최빈,4000,4770,3000,3600,3000
2022,10월,2k~3km미만,최고,7000,6540,5500,4100,4000
2022,10월,3km~4km미만,최빈,3000,5310,3000,0,6000
2022,10월,3km~4km미만,최고,8000,8080,6000,6100,7000
2022,11월,2km,최빈,2000,3000,2000,2900,3000
2022,11월,2km,최고,5500,6000,5500,3400,4000
2022,11월,2k~3km미만,최빈,3000,3770,4000,3900,3000
2022,11월,2k~3km미만,최고,6600,6540,7000,4400,4000
2022,11월,3km~4km미만,최빈,4000,5310,4000,5400,5000
2022,11월,3km~4km미만,최고,6000,8300,7000,6400,7000
