가게명,판매업종,배달소요시간,평점,리뷰수,배달기준금액,배달비
BHC-미아점,5,60,4.9,11109,16000,3000
호식이두마리치킨-길음점,5,50,4.9,3999,14000,3000
굽네치킨&피자-미아1호점,5,60,4.6,1135,15000,3000
네네치킨-정릉점,5,49,4.6,1622,16000,3000
짱닭치킨-성신여대점,5,58,4.9,421,14000,2000
또래오래-미아사거리역점,5,50,4.8,238,15000,4000
KFC-돈암동1점,5,55,4.5,3149,11000,3000
호치킨-길음뉴타운점,5,51,4.8,327,13900,3500
페리카나-정릉행복점,5,43,4.6,197,16000,2000
맘스터치-삼양사거리점,5,50,4.8,637,14000,4000
디디치킨-미아점,5,60,4.7,522,15000,4500
지코바치킨-서울수유1호점,5,60,4.9,7231,16000,2000
후라이드참잘하는집-미아점,5,55,4.7,1917,10000,2000
푸라닭-삼각산점,5,30,4.9,1857,16900,3000
닭강정공방-삼양미아점,5,50,0.0,0,16000,3000
호식이두마리치킨-종암점,5,50,4.6,561,14000,3200
지코바치킨-돈암1호점,5,55,4.9,2725,17000,3000
노랑통닭-미아점,5,50,4.7,2505,17000,3000
파무쳐두마리파닭,5,62,4.4,780,15000,1000
처갓집양념치킨-삼양점,5,60,4.9,5395,16000,2000
BHC-길음뉴타운점,5,60,4.9,6734,16000,3000
BBQ-강북스타점,5,40,4.3,2252,15000,2900
BHC-미아점,5,60,4.9,11109,16000,3000
푸라닭-정릉1호점,5,30,4.8,1432,15900,3000
호식이두마리치킨-길음점,5,50,4.9,3999,14000,3000
순살만공격-강북송천점,5,55,4.8,152,14000,2600
노랑통닭-정릉점,5,68,4.6,1174,16000,2500
지코바치킨-미아역점,5,45,5.0,400,12000,3000
가마로강정-미아점,5,50,4.7,2988,13000,1900
푸라닭-성신여대점,5,50,4.9,2525,16900,4000
보네르닭강정치킨-정릉점,5,45,4.7,218,14000,2000
감탄계숯불치킨-정릉점,5,35,5.0,11,19000,2500
불아더두마리숯불바베큐-하월곡점,5,60,5.0,41,15000,2500
60계-정릉점,5,56,4.5,583,15900,2500
굽네치킨&피자-미아1호점,5,60,4.6,1135,15000,3000
큰집닭강정-미아점,5,16,4.9,16,10000,2900
치킨매니아-미아사거리점,5,62,4.7,417,18000,2000
처갓집양념치킨-돈암점,5,46,4.9,2917,15000,3500
큰집닭강정-정릉점,5,49,4.9,264,13000,3000
처갓집양념치킨-정릉점,5,36,4.8,759,16000,3000
자담치킨-미아뉴타운점,5,41,4.9,170,18000,3000
굽네치킨&피자-하월곡점,5,57,4.2,4312,15000,3000
번쩍피자-제기점,5,36,4.9,4461,14900,2000
자담치킨-길음뉴타운점,5,46,4.8,313,19000,3500
롯데리아-정릉점,5,30,4.7,1959,10000,3500
큰집닭강정-삼양점,5,14,4.7,457,10000,2900
처갓집양념치킨-월곡역점,5,52,4.9,2067,17000,4000
처갓집양념치킨-길음뉴타운점,5,56,5.0,179,18000,3000
꾸브라꼬숯불두마리치킨-미아점,5,60,5.0,429,16000,3500
범프리카인생치킨-미아점,5,55,4.8,355,15500,2000
교촌치킨-정릉1호점,5,53,4.7,114,19000,4000
바른치킨-삼양두산위브점,5,44,4.9,108,16900,2500
피치홈-미아점,5,60,4.7,1714,14000,2000
